TU,SA,SP,Risque déforestation
20.8192775,64183.41666666666,15.387235631709375,0
17.1711035,209091.7991071429,1397.2191521341063,1
16.857654,154372.0,1787.6324394715311,1
16.2000182776373,273193.5,0.18612117401123046,0
15.1160068,209091.7991071429,1397.2191521341063,1
40.5881329,80014.84375,1252.073933855796,1
16.0347977,190832.5,0.3721973327636719,0
26.200381348587303,22382.55,539.2423450660857,1
24.794360353336806,35007.55,926.3293489030425,1
21.2255073,64183.41666666666,15.387235631709375,0
32.7944234,80014.84375,1252.073933855796,1
14.5104612,200865.975,2787.583503412451,1
16.556488199999997,209091.7991071429,1397.2191521341063,1
16.8688564,198233.3571428572,3667.2981025656227,1
30.670692600000002,64183.41666666666,15.387235631709375,0
30.3002276,80014.84375,1252.073933855796,1
15.8,164652.5,0.18612117401123046,0
13.6645831,209091.7991071429,1397.2191521341063,1
15.457192800000001,357815.5,0.5209385803222656,0
28.0336784,80014.84375,1252.073933855796,1
47.79995105993871,78849.0,3788.3891895950856,1
47.1583677,65298.0,679.7783472166296,1
13.1465421,209091.7991071429,1397.2191521341063,1
13.9887971,200865.975,2787.583503412451,1
43.5959583,50221.0,1.1816274780273441,0
8.1161945,200865.975,2787.583503412451,1
29.6357413,64183.41666666666,15.387235631709375,0
21.7394796,210774.15625,0.29779504734039297,0
14.8106805,209091.7991071429,1397.2191521341063,1
16.9048779,160487.35714285716,6779.4084712386875,1
19.848734,210774.15625,0.29779504734039297,0
16.0999702813471,254694.5,0.2979869079589844,0
19.208642940083106,97318.0,5942.886238866564,1
14.0740745,209091.7991071429,1397.2191521341063,1
13.818156400000001,200865.975,2787.583503412451,1
8.5857689,200865.975,2787.583503412451,1
16.92,58830.0,0.2562989096069336,0
9.8835826,200865.975,2787.583503412451,1
31.026719500000002,64183.41666666666,15.387235631709375,0
9.3753761,200865.975,2787.583503412451,1
45.9356351895927,44475.0,3528.7027285124195,1
30.9054035,80014.84375,1252.073933855796,1
47.300096855277005,80278.0,1988.3189450939008,1
21.664924399999997,210774.15625,0.29779504734039297,0
21.812743700000002,210774.15625,0.29779504734039297,0
13.8,37014.0,0.2562989096069336,0
13.097362400000002,172053.0,795.8140080271277,1
48.199933255777,79683.0,1706.2673352737454,1
23.9620133,64183.41666666666,15.387235631709375,0
17.333031,209091.7991071429,1397.2191521341063,1
21.2038874,210774.15625,0.29779504734039297,0
42.92224,75964.5,465.8133238409784,1
14.3642155,209091.7991071429,1397.2191521341063,1
21.5881229,210774.15625,0.29779504734039297,0
36.202839600000004,80014.84375,1252.073933855796,1
13.469427900000001,200865.975,2787.583503412451,1
42.7476213,75720.0,548.9728606589645,1
8.2745593,200865.975,2787.583503412451,1
14.9625649,209091.7991071429,1397.2191521341063,1
29.303119,64183.41666666666,15.387235631709375,0
21.5488782,210774.15625,0.29779504734039297,0
46.3000441644977,83875.0,100.86977230990536,0
16.918631,67125.0,0.2562989096069336,0
21.702482,210774.15625,0.29779504734039297,0
31.3763652,37086.6875,23.56622762451173,0
13.1370432,200865.975,2787.583503412451,1
21.984602,210774.15625,0.29779504734039297,0
15.271022400000001,209091.7991071429,1397.2191521341063,1
16.1999798453589,231289.5,0.18612117401123046,0
21.917067499999998,210774.15625,0.29779504734039297,0
15.124429300000001,166312.5,0.5214674499511719,0
21.776080899999997,210774.15625,0.29779504734039297,0
16.1492607,209091.7991071429,1397.2191521341063,1
